,OFFER,RETAILER,BRAND,RECEIPTS,CATEGORY_ID,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO,combined_text,similarity_score
0,spend 50 fullpriced new club membership,sam club,sam club,,,,,spend 50 fullpriced new club membership,0.29285139832935775
1,spend 110 fullpriced new plus membership receive additional 10000 points,sam club,sam club,,,,,spend 110 fullpriced new plus membership receive additional 10000 points,0.0
2,beyond meat® plantbased products spend 25,unknown,beyond meat,1584.0,d8cb60e5-b0c6-478a-971d-c6c55b17831f,plantbased meat,meat seafood,beyond meat® plantbased products spend 25,0.0
3,beyond meat® plantbased products spend 25,unknown,beyond meat,313.0,8e0a9431-5462-4810-9f65-68fe36adf454,frozen plantbased meat,frozen,beyond meat® plantbased products spend 25,0.0
4,beyond meat® plantbased products spend 25,unknown,beyond meat,30.0,e73f7957-0e65-4466-9588-795bdc5f67ac,packaged meat,pantry,beyond meat® plantbased products spend 25,0.0
5,beyond steak™ plantbased seared tips 10 ounce target,target,beyond meat,1584.0,d8cb60e5-b0c6-478a-971d-c6c55b17831f,plantbased meat,meat seafood,beyond steak™ plantbased seared tips 10 ounce target,0.0
6,beyond steak™ plantbased seared tips 10 ounce target,target,beyond meat,313.0,8e0a9431-5462-4810-9f65-68fe36adf454,frozen plantbased meat,frozen,beyond steak™ plantbased seared tips 10 ounce target,0.0
7,beyond steak™ plantbased seared tips 10 ounce target,target,beyond meat,30.0,e73f7957-0e65-4466-9588-795bdc5f67ac,packaged meat,pantry,beyond steak™ plantbased seared tips 10 ounce target,0.0
8,beyond steak™ plantbased seared tips 10 ounce buy 2 heb,heb,beyond meat,1584.0,d8cb60e5-b0c6-478a-971d-c6c55b17831f,plantbased meat,meat seafood,beyond steak™ plantbased seared tips 10 ounce buy 2 heb,0.0
9,beyond steak™ plantbased seared tips 10 ounce buy 2 heb,heb,beyond meat,313.0,8e0a9431-5462-4810-9f65-68fe36adf454,frozen plantbased meat,frozen,beyond steak™ plantbased seared tips 10 ounce buy 2 heb,0.0
10,beyond steak™ plantbased seared tips 10 ounce buy 2 heb,heb,beyond meat,30.0,e73f7957-0e65-4466-9588-795bdc5f67ac,packaged meat,pantry,beyond steak™ plantbased seared tips 10 ounce buy 2 heb,0.0
11,beyond steak™ plantbased seared tips 10 ounce heb,heb,beyond meat,1584.0,d8cb60e5-b0c6-478a-971d-c6c55b17831f,plantbased meat,meat seafood,beyond steak™ plantbased seared tips 10 ounce heb,0.0
12,beyond steak™ plantbased seared tips 10 ounce heb,heb,beyond meat,313.0,8e0a9431-5462-4810-9f65-68fe36adf454,frozen plantbased meat,frozen,beyond steak™ plantbased seared tips 10 ounce heb,0.0
13,beyond steak™ plantbased seared tips 10 ounce heb,heb,beyond meat,30.0,e73f7957-0e65-4466-9588-795bdc5f67ac,packaged meat,pantry,beyond steak™ plantbased seared tips 10 ounce heb,0.0
14,beyond steak™ plantbased seared tips 10 ounce buy 2 target,target,beyond meat,1584.0,d8cb60e5-b0c6-478a-971d-c6c55b17831f,plantbased meat,meat seafood,beyond steak™ plantbased seared tips 10 ounce buy 2 target,0.0
15,beyond steak™ plantbased seared tips 10 ounce buy 2 target,target,beyond meat,313.0,8e0a9431-5462-4810-9f65-68fe36adf454,frozen plantbased meat,frozen,beyond steak™ plantbased seared tips 10 ounce buy 2 target,0.0
16,beyond steak™ plantbased seared tips 10 ounce buy 2 target,target,beyond meat,30.0,e73f7957-0e65-4466-9588-795bdc5f67ac,packaged meat,pantry,beyond steak™ plantbased seared tips 10 ounce buy 2 target,0.0
17,beyond meat® plantbased products spend 15,unknown,beyond meat,1584.0,d8cb60e5-b0c6-478a-971d-c6c55b17831f,plantbased meat,meat seafood,beyond meat® plantbased products spend 15,0.0
18,beyond meat® plantbased products spend 15,unknown,beyond meat,313.0,8e0a9431-5462-4810-9f65-68fe36adf454,frozen plantbased meat,frozen,beyond meat® plantbased products spend 15,0.0
19,beyond meat® plantbased products spend 15,unknown,beyond meat,30.0,e73f7957-0e65-4466-9588-795bdc5f67ac,packaged meat,pantry,beyond meat® plantbased products spend 15,0.0
20,beyond meat® plantbased products spend 20,unknown,beyond meat,1584.0,d8cb60e5-b0c6-478a-971d-c6c55b17831f,plantbased meat,meat seafood,beyond meat® plantbased products spend 20,0.0
21,beyond meat® plantbased products spend 20,unknown,beyond meat,313.0,8e0a9431-5462-4810-9f65-68fe36adf454,frozen plantbased meat,frozen,beyond meat® plantbased products spend 20,0.0
22,beyond meat® plantbased products spend 20,unknown,beyond meat,30.0,e73f7957-0e65-4466-9588-795bdc5f67ac,packaged meat,pantry,beyond meat® plantbased products spend 20,0.0
23,good humor viennetta frozen vanilla cake,unknown,good humor,1052.0,38160828-1029-4505-9849-673773c5fad3,frozen dessert,frozen,good humor viennetta frozen vanilla cake,0.0
24,good humor viennetta frozen vanilla cake,unknown,good humor,596.0,451e3832-bc4c-4dd3-bbbb-5e33d134a765,dip salsa,snack,good humor viennetta frozen vanilla cake,0.0
25,reeses peanut butter bar 6 count giant martin ’,the giant co,good humor,1052.0,38160828-1029-4505-9849-673773c5fad3,frozen dessert,frozen,reeses peanut butter bar 6 count giant martin ’,0.0
26,reeses peanut butter bar 6 count giant martin ’,the giant co,good humor,596.0,451e3832-bc4c-4dd3-bbbb-5e33d134a765,dip salsa,snack,reeses peanut butter bar 6 count giant martin ’,0.0
27,reeses peanut butter bar 6 count giant martin ’,martin food,good humor,1052.0,38160828-1029-4505-9849-673773c5fad3,frozen dessert,frozen,reeses peanut butter bar 6 count giant martin ’,0.0
28,reeses peanut butter bar 6 count giant martin ’,martin food,good humor,596.0,451e3832-bc4c-4dd3-bbbb-5e33d134a765,dip salsa,snack,reeses peanut butter bar 6 count giant martin ’,0.0
29,butterball select varieties spend 10 dillons food store,dillons food store,butterball,2107.0,2a2ad3c4-41df-484c-833c-26744a4d9610,nut butter jam,pantry,butterball select varieties spend 10 dillons food store,0.0
30,butterball select varieties spend 10 dillons food store,dillons food store,butterball,388.0,0b039c0e-d33d-4356-b57b-83352d98623f,frozen turkey,frozen meat,butterball select varieties spend 10 dillons food store,0.0
31,butterball select varieties spend 10 ralphs,ralphs,butterball,2107.0,2a2ad3c4-41df-484c-833c-26744a4d9610,nut butter jam,pantry,butterball select varieties spend 10 ralphs,0.0
32,butterball select varieties spend 10 ralphs,ralphs,butterball,388.0,0b039c0e-d33d-4356-b57b-83352d98623f,frozen turkey,frozen meat,butterball select varieties spend 10 ralphs,0.0
33,butterball select varieties spend 10 ruler foods,ruler food,butterball,2107.0,2a2ad3c4-41df-484c-833c-26744a4d9610,nut butter jam,pantry,butterball select varieties spend 10 ruler foods,0.0
34,butterball select varieties spend 10 ruler foods,ruler food,butterball,388.0,0b039c0e-d33d-4356-b57b-83352d98623f,frozen turkey,frozen meat,butterball select varieties spend 10 ruler foods,0.0
35,butterball select varieties spend 10 king soopers,king soopers,butterball,2107.0,2a2ad3c4-41df-484c-833c-26744a4d9610,nut butter jam,pantry,butterball select varieties spend 10 king soopers,0.0
36,butterball select varieties spend 10 king soopers,king soopers,butterball,388.0,0b039c0e-d33d-4356-b57b-83352d98623f,frozen turkey,frozen meat,butterball select varieties spend 10 king soopers,0.0
37,butterball select varieties spend 10 fred meyer,fred meyer,butterball,2107.0,2a2ad3c4-41df-484c-833c-26744a4d9610,nut butter jam,pantry,butterball select varieties spend 10 fred meyer,0.0
38,butterball select varieties spend 10 fred meyer,fred meyer,butterball,388.0,0b039c0e-d33d-4356-b57b-83352d98623f,frozen turkey,frozen meat,butterball select varieties spend 10 fred meyer,0.0
39,butterball select varieties spend 10 kroger,kroger,butterball,2107.0,2a2ad3c4-41df-484c-833c-26744a4d9610,nut butter jam,pantry,butterball select varieties spend 10 kroger,0.0
40,butterball select varieties spend 10 kroger,kroger,butterball,388.0,0b039c0e-d33d-4356-b57b-83352d98623f,frozen turkey,frozen meat,butterball select varieties spend 10 kroger,0.0
41,butterball select varieties spend 10 smiths,smith,butterball,2107.0,2a2ad3c4-41df-484c-833c-26744a4d9610,nut butter jam,pantry,butterball select varieties spend 10 smiths,0.0
42,butterball select varieties spend 10 smiths,smith,butterball,388.0,0b039c0e-d33d-4356-b57b-83352d98623f,frozen turkey,frozen meat,butterball select varieties spend 10 smiths,0.0
43,butterball select varieties spend 10 food 4 less,,butterball,2107.0,2a2ad3c4-41df-484c-833c-26744a4d9610,nut butter jam,pantry,butterball select varieties spend 10 food 4 less,0.0
44,butterball select varieties spend 10 food 4 less,,butterball,388.0,0b039c0e-d33d-4356-b57b-83352d98623f,frozen turkey,frozen meat,butterball select varieties spend 10 food 4 less,0.0
45,butterball select varieties spend 10 frys food store,fry food store,butterball,2107.0,2a2ad3c4-41df-484c-833c-26744a4d9610,nut butter jam,pantry,butterball select varieties spend 10 frys food store,0.0
46,butterball select varieties spend 10 frys food store,fry food store,butterball,388.0,0b039c0e-d33d-4356-b57b-83352d98623f,frozen turkey,frozen meat,butterball select varieties spend 10 frys food store,0.0
47,butterball select varieties spend 10 qfc,qfc,butterball,2107.0,2a2ad3c4-41df-484c-833c-26744a4d9610,nut butter jam,pantry,butterball select varieties spend 10 qfc,0.0
48,butterball select varieties spend 10 qfc,qfc,butterball,388.0,0b039c0e-d33d-4356-b57b-83352d98623f,frozen turkey,frozen meat,butterball select varieties spend 10 qfc,0.0
49,butterball select varieties spend 10 marianos,marianos,butterball,2107.0,2a2ad3c4-41df-484c-833c-26744a4d9610,nut butter jam,pantry,butterball select varieties spend 10 marianos,0.0
50,butterball select varieties spend 10 marianos,marianos,butterball,388.0,0b039c0e-d33d-4356-b57b-83352d98623f,frozen turkey,frozen meat,butterball select varieties spend 10 marianos,0.0
51,butterball select varieties spend 10 pick n save metro market,pick n save,butterball,2107.0,2a2ad3c4-41df-484c-833c-26744a4d9610,nut butter jam,pantry,butterball select varieties spend 10 pick n save metro market,0.0
52,butterball select varieties spend 10 pick n save metro market,pick n save,butterball,388.0,0b039c0e-d33d-4356-b57b-83352d98623f,frozen turkey,frozen meat,butterball select varieties spend 10 pick n save metro market,0.0
53,gatorade® fast twitch® 12ounce 12 pack amazon storefront,amazon,gatorade,34829.0,bd33436d-a5de-4fd6-90f1-4f1fb4db0189,sport drink,sport drink enhanced water,gatorade® fast twitch® 12ounce 12 pack amazon storefront,0.0
54,gatorade® fast twitch® 12ounce 12 pack amazon storefront,amazon,gatorade,25275.0,d45c0d30-af85-4eda-b5ed-ae6a38bfeed3,medicine treatment,health wellness,gatorade® fast twitch® 12ounce 12 pack amazon storefront,0.0
55,gatorade® fast twitch® 12ounce 12 pack amazon storefront,amazon,gatorade,289.0,b017bef1-50f6-444b-8fb3-77aa8dbb48a3,meal replacement beverage,beverage,gatorade® fast twitch® 12ounce 12 pack amazon storefront,0.0
56,gatorlyte® gatorade™ fit single serve bottle select varieties buy 2,unknown,gatorade,34829.0,bd33436d-a5de-4fd6-90f1-4f1fb4db0189,sport drink,sport drink enhanced water,gatorlyte® gatorade™ fit single serve bottle select varieties buy 2,0.0
57,gatorlyte® gatorade™ fit single serve bottle select varieties buy 2,unknown,gatorade,25275.0,d45c0d30-af85-4eda-b5ed-ae6a38bfeed3,medicine treatment,health wellness,gatorlyte® gatorade™ fit single serve bottle select varieties buy 2,0.0
58,gatorlyte® gatorade™ fit single serve bottle select varieties buy 2,unknown,gatorade,289.0,b017bef1-50f6-444b-8fb3-77aa8dbb48a3,meal replacement beverage,beverage,gatorlyte® gatorade™ fit single serve bottle select varieties buy 2,0.0
59,gatorade® fast twitch® 12ounce single serve buy 2 kroger,fred meyer,gatorade,34829.0,bd33436d-a5de-4fd6-90f1-4f1fb4db0189,sport drink,sport drink enhanced water,gatorade® fast twitch® 12ounce single serve buy 2 kroger,0.0
60,gatorade® fast twitch® 12ounce single serve buy 2 kroger,fred meyer,gatorade,25275.0,d45c0d30-af85-4eda-b5ed-ae6a38bfeed3,medicine treatment,health wellness,gatorade® fast twitch® 12ounce single serve buy 2 kroger,0.0
61,gatorade® fast twitch® 12ounce single serve buy 2 kroger,fred meyer,gatorade,289.0,b017bef1-50f6-444b-8fb3-77aa8dbb48a3,meal replacement beverage,beverage,gatorade® fast twitch® 12ounce single serve buy 2 kroger,0.0
62,gatorade® fast twitch® 12ounce single serve,unknown,gatorade,34829.0,bd33436d-a5de-4fd6-90f1-4f1fb4db0189,sport drink,sport drink enhanced water,gatorade® fast twitch® 12ounce single serve,0.0
63,gatorade® fast twitch® 12ounce single serve,unknown,gatorade,25275.0,d45c0d30-af85-4eda-b5ed-ae6a38bfeed3,medicine treatment,health wellness,gatorade® fast twitch® 12ounce single serve,0.0
64,gatorade® fast twitch® 12ounce single serve,unknown,gatorade,289.0,b017bef1-50f6-444b-8fb3-77aa8dbb48a3,meal replacement beverage,beverage,gatorade® fast twitch® 12ounce single serve,0.0
65,gatorade® fast twitch® 12ounce single serve kroger,dillons grocery,gatorade,34829.0,bd33436d-a5de-4fd6-90f1-4f1fb4db0189,sport drink,sport drink enhanced water,gatorade® fast twitch® 12ounce single serve kroger,0.0
66,gatorade® fast twitch® 12ounce single serve kroger,dillons grocery,gatorade,25275.0,d45c0d30-af85-4eda-b5ed-ae6a38bfeed3,medicine treatment,health wellness,gatorade® fast twitch® 12ounce single serve kroger,0.0
67,gatorade® fast twitch® 12ounce single serve kroger,dillons grocery,gatorade,289.0,b017bef1-50f6-444b-8fb3-77aa8dbb48a3,meal replacement beverage,beverage,gatorade® fast twitch® 12ounce single serve kroger,0.0
68,gatorlyte® gatorade™ fit single serve bottle select varieties,unknown,gatorade,34829.0,bd33436d-a5de-4fd6-90f1-4f1fb4db0189,sport drink,sport drink enhanced water,gatorlyte® gatorade™ fit single serve bottle select varieties,0.0
69,gatorlyte® gatorade™ fit single serve bottle select varieties,unknown,gatorade,25275.0,d45c0d30-af85-4eda-b5ed-ae6a38bfeed3,medicine treatment,health wellness,gatorlyte® gatorade™ fit single serve bottle select varieties,0.0
70,gatorlyte® gatorade™ fit single serve bottle select varieties,unknown,gatorade,289.0,b017bef1-50f6-444b-8fb3-77aa8dbb48a3,meal replacement beverage,beverage,gatorlyte® gatorade™ fit single serve bottle select varieties,0.0
71,gatorade® fast twitch® 12ounce single serve buy 2 kroger,,gatorade,34829.0,bd33436d-a5de-4fd6-90f1-4f1fb4db0189,sport drink,sport drink enhanced water,gatorade® fast twitch® 12ounce single serve buy 2 kroger,0.0
72,gatorade® fast twitch® 12ounce single serve buy 2 kroger,,gatorade,25275.0,d45c0d30-af85-4eda-b5ed-ae6a38bfeed3,medicine treatment,health wellness,gatorade® fast twitch® 12ounce single serve buy 2 kroger,0.0
73,gatorade® fast twitch® 12ounce single serve buy 2 kroger,,gatorade,289.0,b017bef1-50f6-444b-8fb3-77aa8dbb48a3,meal replacement beverage,beverage,gatorade® fast twitch® 12ounce single serve buy 2 kroger,0.0
74,emmys organics® cookies brownie snaps,unknown,emmy pop up,38.0,ee7d461c-afec-4dd8-b06e-c3de3ea040fe,cooky,snack,emmys organics® cookies brownie snaps,0.0
75,dr pepper® regular zero sugar strawberries cream 12 pack select retailers,united supermarket,dr pepper,77880.0,b3028295-932d-49df-afbc-52dce9cce8c7,carbonated soft drink,beverage,dr pepper® regular zero sugar strawberries cream 12 pack select retailers,0.0
76,dr pepper® regular zero sugar strawberries cream 12 pack select retailers,united supermarket,dr pepper,10983.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,dr pepper® regular zero sugar strawberries cream 12 pack select retailers,0.0
77,arnold brownberry oroweat® small slice bread walmart,walmart,arnold brownberry oroweat,8390.0,f1a38ab2-67a0-4863-9802-2b16a181e722,bread,pantry,arnold brownberry oroweat® small slice bread walmart,0.0
78,arnold brownberry oroweat® small slice bread walmart,walmart,arnold brownberry oroweat,86.0,397f9b41-5196-4e19-96e1-e8783201b375,prepared meal,deli bakery,arnold brownberry oroweat® small slice bread walmart,0.0
79,arnold brownberry oroweat® small slice bread walmart,walmart,arnold brownberry oroweat,20.0,5f2f147b-f2a2-48ed-bac4-ba1be2df09ec,bakery,deli bakery,arnold brownberry oroweat® small slice bread walmart,0.0
80,arnold brownberry oroweat® keto bread buy 2,unknown,arnold brownberry oroweat,8390.0,f1a38ab2-67a0-4863-9802-2b16a181e722,bread,pantry,arnold brownberry oroweat® keto bread buy 2,0.0
81,arnold brownberry oroweat® keto bread buy 2,unknown,arnold brownberry oroweat,86.0,397f9b41-5196-4e19-96e1-e8783201b375,prepared meal,deli bakery,arnold brownberry oroweat® keto bread buy 2,0.0
82,arnold brownberry oroweat® keto bread buy 2,unknown,arnold brownberry oroweat,20.0,5f2f147b-f2a2-48ed-bac4-ba1be2df09ec,bakery,deli bakery,arnold brownberry oroweat® keto bread buy 2,0.0
83,arnold® grains almighty,unknown,arnold brownberry oroweat,8390.0,f1a38ab2-67a0-4863-9802-2b16a181e722,bread,pantry,arnold® grains almighty,0.0
84,arnold® grains almighty,unknown,arnold brownberry oroweat,86.0,397f9b41-5196-4e19-96e1-e8783201b375,prepared meal,deli bakery,arnold® grains almighty,0.0
85,arnold® grains almighty,unknown,arnold brownberry oroweat,20.0,5f2f147b-f2a2-48ed-bac4-ba1be2df09ec,bakery,deli bakery,arnold® grains almighty,0.0
86,barilla® pesto sauce,unknown,barilla,25852.0,e8d9c191-47c0-46eb-affd-34b08a44ebbc,dry pasta,pasta noodle,barilla® pesto sauce,0.0
87,barilla® pesto sauce,unknown,barilla,5816.0,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622,chip,snack,barilla® pesto sauce,0.0
88,barilla® pesto sauce,unknown,barilla,581.0,1f7d2fa7-a1d7-4969-aaf4-1244f232c175,red pasta sauce,pasta sauce,barilla® pesto sauce,0.0
89,barilla® pesto sauce,unknown,barilla,525.0,e1e81d2f-3a40-497c-99c8-2ae28e979e25,pesto sauce,pasta sauce,barilla® pesto sauce,0.0
90,barilla® pasta select varieties buy 2,unknown,barilla,25852.0,e8d9c191-47c0-46eb-affd-34b08a44ebbc,dry pasta,pasta noodle,barilla® pasta select varieties buy 2,0.0
91,barilla® pasta select varieties buy 2,unknown,barilla,5816.0,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622,chip,snack,barilla® pasta select varieties buy 2,0.0
92,barilla® pasta select varieties buy 2,unknown,barilla,581.0,1f7d2fa7-a1d7-4969-aaf4-1244f232c175,red pasta sauce,pasta sauce,barilla® pasta select varieties buy 2,0.0
93,barilla® pasta select varieties buy 2,unknown,barilla,525.0,e1e81d2f-3a40-497c-99c8-2ae28e979e25,pesto sauce,pasta sauce,barilla® pasta select varieties buy 2,0.0
94,barilla® pasta select varieties buy 3,unknown,barilla,25852.0,e8d9c191-47c0-46eb-affd-34b08a44ebbc,dry pasta,pasta noodle,barilla® pasta select varieties buy 3,0.0
95,barilla® pasta select varieties buy 3,unknown,barilla,5816.0,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622,chip,snack,barilla® pasta select varieties buy 3,0.0
96,barilla® pasta select varieties buy 3,unknown,barilla,581.0,1f7d2fa7-a1d7-4969-aaf4-1244f232c175,red pasta sauce,pasta sauce,barilla® pasta select varieties buy 3,0.0
